GrLivArea,SalePrice
98,85
21,2
10,38
86,11
9,84
82,20
41,49
46,32
56,37
68,39
11,9
3,69
2,73
82,69
57,11
68,1
76,42
24,91
58,16
30,90
63,63
43,82
38,14
21,99
58,23
24,68
62,21
56,74
70,92
29,19
3,50
8,99
49,68
8,58
5,57
27,57
84,73
99,94
88,34
5,73
10,59
61,50
80,75
13,20
90,97
60,83
34,33
29,82
30,58
34,90
50,13
71,98
70,6
7,6
10,1
38,56
42,14
30,8
41,69
84,68
57,2
29,72
1,53
20,32
4,88
15,72
53,50
80,79
94,35
43,62
74,4
45,97
14,9
90,59
74,71
82,12
73,54
17,26
62,58
59,2
97,57
99,10
82,76
31,36
93,15
14,34
15,2
68,32
51,19
29,24
34,91
68,43
15,14
63,32
84,51
49,81
98,37
15,58
35,51
2,47
